"","Both.sexes","Male","Female"
"Nigeria",7.8,4.1,11.5
"Niue",49.3,44.2,54.5
"Norway",25,25.1,24.8
"Oman",22.9,19.5,30.8
"Pakistan",7.8,5.5,10.1
"Palau",54.9,51.3,58.4
"Panama",22.5,17.6,27.5
"Papua New Guinea",19.4,15.2,23.7
"Paraguay",19,16.1,21.9
"Peru",19.1,14.7,23.5
"Philippines",6,5,7
"Poland",25.6,25.4,25.7
"Portugal",23.2,22.1,24.2
"Qatar",33.9,31.9,41.8
"Republic of Korea",4.9,4.6,5.3
"Republic of Moldova",20.1,16.9,23
"Romania",24.5,24.9,24.2
"Russian Federation",25.7,19.4,30.8
"Rwanda",4.8,1.6,7.7
"Saint Kitts and Nevis",23.1,15.4,30.5
"Saint Lucia",19.8,12,27.2
"Saint Vincent and the Grenadines",23.8,16.7,31
"Samoa",45.5,38.2,53.2
"San Marino",NA,NA,NA
"Sao Tome and Principe",10.6,6.3,14.8
"Saudi Arabia",35,31,41.2
"Senegal",7.4,3.3,11
"Serbia",23.5,22.5,24.5
"Seychelles",14.6,8.1,21.4
"Sierra Leone",7.5,3.4,11.6
"Singapore",6.6,6.2,7
"Slovakia",22.4,22.5,22.3
"Slovenia",22.5,21.4,23.6
"Solomon Islands",20.5,16.3,24.7
"Somalia",6.9,3.4,10.3
"South Africa",27,14.5,38.5
"South Sudan",NA,NA,NA
"Spain",27.1,27.1,27.2
"Sri Lanka",5.4,3,7.7
"Sudan",NA,NA,NA
"Sudan (former)",7.4,3.4,10.7
"Suriname",26.5,19,33.9
"Sweden",22.1,24.2,20
"Switzerland",21.2,23.7,18.8
"Syrian Arab Republic",25.8,19.3,32.4
"Tajikistan",12.6,10.4,14.6
"Thailand",10.8,7.5,13.8
"Republic of North Macedonia",23.9,23.8,23.9
"Timor-Leste",2.9,2.1,3.8
"Togo",7.1,3.4,10.7
"Tonga",45.9,39,52.6
"Trinidad and Tobago",19.7,11.4,27.7
"Tunisia",27.3,19.3,34.9
"Turkey",32.2,24.2,39.7
"Turkmenistan",17.5,15,19.9
"Tuvalu",51,46.4,55.6
"Uganda",4.1,1.5,6.8
"Ukraine",26.1,23.2,28.4
"United Arab Emirates",29.9,26.7,38.8
"United Kingdom of Great Britain and Northern Ireland",29.5,28.6,30.4
"United Republic of Tanzania",7.1,3.4,10.7
"United States of America",37.3,36.5,38.2
"Uruguay",28.9,25.3,32.1
"Uzbekistan",15.3,12.9,17.7
"Vanuatu",23.5,18.8,28.1
"Venezuela (Bolivarian Republic of)",25.2,22.1,28.3
"Viet Nam",2.1,1.6,2.6
"Yemen",14.1,9.9,18.2
"Zambia",6.5,3,10
"Zimbabwe",12.3,3.7,20.5
